"","x"
"1",1.461
"2",3.098
"3",5.492
"4",8.223
"5",11.385
"6",13.293
"7",14.171
"8",13.816
"9",11.955
"10",9.666
"11",5.804
"12",3.655
"13",2.191
"14",3.092
"15",5.671
"16",8.522
"17",11.178
"18",13.423
"19",14.339
"20",13.789
"21",11.984
"22",9.003
"23",5.976
"24",3.335
"25",2.684
"26",3.606
"27",4.883
"28",7.956
"29",10.893
"30",13.214
"31",14.231
"32",13.599
"33",11.799
"34",8.801
"35",5.274
"36",2.713
"37",2.514
"38",3.555
"39",4.93
"40",7.832
"41",10.794
"42",12.886
"43",13.992
"44",13.412
"45",11.501
"46",8.812
"47",5.516
"48",2.898
"49",1.637
"50",2.297
"51",4.506
"52",7.684
"53",10.84
"54",13.014
"55",13.836
"56",13.459
"57",11.381
"58",8.833
"59",6.23
"60",3.374
"61",2.254
"62",1.927
"63",4.635
"64",7.755
"65",10.982
"66",13.112
"67",14.077
"68",13.578
"69",11.804
"70",9.041
"71",6.183
"72",3.354
"73",2.068
"74",2.301
"75",4.866
"76",8.626
"77",11.24
"78",13.334
"79",14.122
"80",13.691
"81",11.772
"82",9.267
"83",5.501
"84",3.761
"85",1.798
"86",2.117
"87",4.575
"88",7.579
"89",10.375
"90",12.729
"91",13.769
"92",13.362
"93",11.665
"94",9.234
"95",5.207
"96",2.956
"97",2.304
"98",2.769
"99",4.136
"100",7.832
"101",11.141
"102",13.293
"103",14.197
"104",13.376
"105",11.977
"106",8.865
"107",5.272
"108",3.071
"109",1.395
"110",2.706
"111",4.589
"112",7.534
"113",10.611
"114",12.962
"115",14.06
"116",13.752
"117",11.879
"118",9.192
"119",6.236
"120",3.223
"121",2.333
"122",2.779
"123",4.606
"124",8.105
"125",11.005
"126",13.151
"127",14.279
"128",13.677
"129",11.733
"130",9.006
"131",5.318
"132",2.684
"133",1.66
"134",2.453
"135",4.347
"136",7.99
"137",10.829
"138",13.009
"139",14.082
"140",13.499
"141",11.638
"142",9.263
"143",5.964
"144",3.39
"145",2.402
"146",3.354
"147",4.356
"148",8.229
"149",11.254
"150",13.435
"151",13.723
"152",13.053
"153",11.222
"154",8.367
"155",5.521
"156",3.069
"157",2.083
"158",2.376
"159",4.517
"160",8.023
"161",10.745
"162",13.005
"163",14.137
"164",13.724
"165",11.759
"166",9.077
"167",6.024
"168",4.103
"169",3.376
"170",3.2
"171",4.942
"172",8.098
"173",11.285
"174",13.496
"175",14.298
"176",13.73
"177",11.915
"178",9.387
"179",5.759
"180",3.6
"181",2.299
"182",3.265
